设备：cuda
★BC 锚开启：w=0.1  只锚 turn ≤ 70  权重来自 rl/runs/bc_candx100_gpu/ep400.pt（缺失 0 项）
续训自 rl/runs/bc_candx100_gpu/ep400.pt（第 0 块）
★地图池：802 张（难度已筛）  从第 0 张接着数
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=26 | env_steps=197953 | secs=5171.200 | episodes=104 | last_spend=12276.678 | mean_spend=10647.166 | last_tiles=21.000 | last_armies=9.000 | pg=0.009 | vf=276.154 | ent=2.125 | kl=0.010 | clipfrac=0.109 | n=238 | bc_kl=0.223 | adv_mean=9.067 | adv_std=14.087
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=27 | env_steps=205528 | secs=5373.000 | episodes=108 | last_spend=12141.151 | mean_spend=9222.130 | last_tiles=25.000 | last_armies=3.000 | pg=0.006 | vf=286.356 | ent=2.332 | kl=0.012 | clipfrac=0.110 | n=237 | bc_kl=0.187 | adv_mean=4.418 | adv_std=16.472
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=28 | env_steps=217127 | secs=5653.000 | episodes=112 | last_spend=12629.118 | mean_spend=10016.641 | last_tiles=26.000 | last_armies=7.000 | pg=0.009 | vf=367.481 | ent=2.974 | kl=0.021 | clipfrac=0.216 | n=363 | bc_kl=0.229 | adv_mean=-5.669 | adv_std=18.458
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=29 | env_steps=224367 | secs=5837.900 | episodes=116 | last_spend=6976.386 | mean_spend=10372.199 | last_tiles=22.000 | last_armies=3.000 | pg=0.011 | vf=733.823 | ent=2.339 | kl=0.010 | clipfrac=0.145 | n=227 | bc_kl=0.194 | adv_mean=8.262 | adv_std=25.970
eval_spend=11130.495 | eval_tiles=11.000 | eval_armies=8.000 | eval_s_spend=12520.914 | eval_s_tiles=17.500 | iter=30 | env_steps=234109 | secs=6092.000 | episodes=120 | last_spend=14667.054 | mean_spend=11157.181 | last_tiles=31.000 | last_armies=12.000 | pg=0.003 | vf=320.171 | ent=2.873 | kl=0.012 | clipfrac=0.133 | n=305 | bc_kl=0.178 | adv_mean=10.857 | adv_std=14.396
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=31 | env_steps=242300 | secs=6491.900 | episodes=124 | last_spend=8007.662 | mean_spend=10278.233 | last_tiles=20.000 | last_armies=5.000 | pg=0.004 | vf=160.933 | ent=2.332 | kl=0.008 | clipfrac=0.099 | n=256 | bc_kl=0.204 | adv_mean=3.339 | adv_std=12.378
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=32 | env_steps=249907 | secs=6675.500 | episodes=128 | last_spend=5741.856 | mean_spend=6511.401 | last_tiles=6.000 | last_armies=1.000 | pg=0.012 | vf=276.952 | ent=2.665 | kl=0.009 | clipfrac=0.151 | n=238 | bc_kl=0.200 | adv_mean=-1.180 | adv_std=16.742
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=33 | env_steps=257262 | secs=6857.000 | episodes=132 | last_spend=8808.919 | mean_spend=9149.677 | last_tiles=16.000 | last_armies=5.000 | pg=0.006 | vf=68.984 | ent=2.294 | kl=0.014 | clipfrac=0.110 | n=230 | bc_kl=0.254 | adv_mean=-1.349 | adv_std=8.314
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=34 | env_steps=264791 | secs=7036.800 | episodes=136 | last_spend=7683.938 | mean_spend=7373.357 | last_tiles=20.000 | last_armies=5.000 | pg=0.005 | vf=109.651 | ent=2.339 | kl=0.006 | clipfrac=0.084 | n=236 | bc_kl=0.239 | adv_mean=-2.018 | adv_std=10.413
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=35 | env_steps=272004 | secs=7217.200 | episodes=140 | last_spend=6033.304 | mean_spend=7972.620 | last_tiles=5.000 | last_armies=0.000 | pg=0.003 | vf=56.058 | ent=2.213 | kl=0.008 | clipfrac=0.082 | n=226 | bc_kl=0.294 | adv_mean=-0.579 | adv_std=7.593
