设备：cuda
★BC 锚开启：w=0.1  只锚 turn ≤ 70  权重来自 rl/runs/bc_ep400.pt（缺失 0 项）
（含优化器状态）
续训自 rl/runs/ppo_resume.pt（第 98 块）
（训练图种子接着数：0）
★地图池：802 张（难度已筛）  从第 392 张接着数
（含回报归一化状态）
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=129 | env_steps=255784 | secs=6626.100 | episodes=124 | last_spend=11842.920 | mean_spend=7915.027 | last_tiles=29.000 | last_armies=4.000 | pg=0.006 | vf=182.479 | ent=2.751 | kl=0.005 | clipfrac=0.070 | n=220 | bc_kl=0.290 | adv_mean=2.739 | adv_std=13.364
eval_spend=6096.777 | eval_tiles=8.500 | eval_armies=0.000 | eval_s_spend=12145.932 | eval_s_tiles=18.000 | iter=130 | env_steps=263114 | secs=6809.500 | episodes=128 | last_spend=8134.630 | mean_spend=8098.534 | last_tiles=21.000 | last_armies=5.000 | pg=0.004 | vf=14.303 | ent=2.347 | kl=0.004 | clipfrac=0.061 | n=230 | bc_kl=0.224 | adv_mean=0.258 | adv_std=3.877
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=131 | env_steps=270627 | secs=7112.500 | episodes=132 | last_spend=4761.708 | mean_spend=8411.980 | last_tiles=5.000 | last_armies=0.000 | pg=0.001 | vf=73.014 | ent=2.595 | kl=0.012 | clipfrac=0.090 | n=235 | bc_kl=0.257 | adv_mean=2.304 | adv_std=8.372
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=132 | env_steps=277571 | secs=7271.300 | episodes=136 | last_spend=8434.634 | mean_spend=7859.976 | last_tiles=15.000 | last_armies=4.000 | pg=0.007 | vf=50.631 | ent=2.439 | kl=0.013 | clipfrac=0.098 | n=217 | bc_kl=0.313 | adv_mean=-1.927 | adv_std=6.973
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=133 | env_steps=284480 | secs=7437.400 | episodes=140 | last_spend=8738.286 | mean_spend=7217.379 | last_tiles=20.000 | last_armies=3.000 | pg=0.003 | vf=36.350 | ent=2.388 | kl=0.005 | clipfrac=0.058 | n=216 | bc_kl=0.307 | adv_mean=-2.221 | adv_std=5.717
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=134 | env_steps=292289 | secs=7623.600 | episodes=144 | last_spend=8444.305 | mean_spend=8670.279 | last_tiles=24.000 | last_armies=5.000 | pg=0.006 | vf=57.685 | ent=2.627 | kl=0.011 | clipfrac=0.115 | n=245 | bc_kl=0.245 | adv_mean=5.387 | adv_std=5.575
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=135 | env_steps=300647 | secs=7815.700 | episodes=148 | last_spend=9688.902 | mean_spend=8551.092 | last_tiles=23.000 | last_armies=5.000 | pg=0.006 | vf=127.817 | ent=2.961 | kl=0.012 | clipfrac=0.138 | n=262 | bc_kl=0.300 | adv_mean=-2.259 | adv_std=11.227
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=136 | env_steps=310174 | secs=8038.600 | episodes=152 | last_spend=10967.622 | mean_spend=9869.199 | last_tiles=27.000 | last_armies=1.000 | pg=0.004 | vf=30.343 | ent=3.076 | kl=0.007 | clipfrac=0.082 | n=298 | bc_kl=0.283 | adv_mean=1.534 | adv_std=5.444
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=137 | env_steps=318854 | secs=8250.500 | episodes=156 | last_spend=10630.770 | mean_spend=9539.924 | last_tiles=17.000 | last_armies=1.000 | pg=0.004 | vf=12.942 | ent=2.791 | kl=0.006 | clipfrac=0.079 | n=272 | bc_kl=0.228 | adv_mean=0.542 | adv_std=3.691
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=138 | env_steps=326832 | secs=8434.000 | episodes=160 | last_spend=7693.330 | mean_spend=7450.978 | last_tiles=18.000 | last_armies=5.000 | pg=0.006 | vf=169.722 | ent=2.554 | kl=0.013 | clipfrac=0.134 | n=250 | bc_kl=0.307 | adv_mean=1.061 | adv_std=13.120
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=139 | env_steps=335431 | secs=8645.400 | episodes=164 | last_spend=7066.642 | mean_spend=10072.937 | last_tiles=17.000 | last_armies=3.000 | pg=0.008 | vf=232.641 | ent=2.807 | kl=0.016 | clipfrac=0.167 | n=269 | bc_kl=0.289 | adv_mean=10.444 | adv_std=11.324
eval_spend=11489.002 | eval_tiles=10.500 | eval_armies=7.500 | eval_s_spend=12271.208 | eval_s_tiles=13.500 | iter=140 | env_steps=344323 | secs=8858.100 | episodes=168 | last_spend=8706.599 | mean_spend=10220.160 | last_tiles=23.000 | last_armies=4.000 | pg=0.004 | vf=85.579 | ent=2.969 | kl=0.007 | clipfrac=0.091 | n=278 | bc_kl=0.264 | adv_mean=4.875 | adv_std=8.011
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=141 | env_steps=353087 | secs=9202.500 | episodes=172 | last_spend=13199.588 | mean_spend=10614.764 | last_tiles=27.000 | last_armies=1.000 | pg=0.003 | vf=66.858 | ent=3.088 | kl=0.007 | clipfrac=0.090 | n=274 | bc_kl=0.268 | adv_mean=3.361 | adv_std=7.608
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=142 | env_steps=362348 | secs=9430.400 | episodes=176 | last_spend=13173.434 | mean_spend=11043.160 | last_tiles=34.000 | last_armies=9.000 | pg=0.004 | vf=161.385 | ent=3.214 | kl=0.006 | clipfrac=0.064 | n=290 | bc_kl=0.239 | adv_mean=4.226 | adv_std=12.124
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=143 | env_steps=370780 | secs=9642.100 | episodes=180 | last_spend=5431.373 | mean_spend=9382.136 | last_tiles=5.000 | last_armies=0.000 | pg=0.007 | vf=153.599 | ent=3.042 | kl=0.008 | clipfrac=0.086 | n=264 | bc_kl=0.265 | adv_mean=-2.073 | adv_std=12.340
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=144 | env_steps=381738 | secs=9910.600 | episodes=184 | last_spend=10778.280 | mean_spend=10092.992 | last_tiles=22.000 | last_armies=1.000 | pg=0.006 | vf=195.389 | ent=3.421 | kl=0.011 | clipfrac=0.122 | n=343 | bc_kl=0.269 | adv_mean=-4.154 | adv_std=13.483
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=145 | env_steps=391012 | secs=10120.200 | episodes=188 | last_spend=10490.056 | mean_spend=7767.545 | last_tiles=16.000 | last_armies=1.000 | pg=0.011 | vf=214.847 | ent=3.273 | kl=0.016 | clipfrac=0.168 | n=290 | bc_kl=0.292 | adv_mean=-9.953 | adv_std=10.941
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=146 | env_steps=401377 | secs=10369.200 | episodes=192 | last_spend=8122.305 | mean_spend=9197.848 | last_tiles=27.000 | last_armies=3.000 | pg=0.003 | vf=144.339 | ent=3.274 | kl=0.008 | clipfrac=0.087 | n=324 | bc_kl=0.244 | adv_mean=-2.720 | adv_std=11.825
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=147 | env_steps=412218 | secs=10627.500 | episodes=196 | last_spend=8459.354 | mean_spend=10117.487 | last_tiles=20.000 | last_armies=2.000 | pg=0.005 | vf=106.475 | ent=3.431 | kl=0.010 | clipfrac=0.128 | n=339 | bc_kl=0.332 | adv_mean=-2.045 | adv_std=10.253
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=148 | env_steps=421843 | secs=10852.900 | episodes=200 | last_spend=6940.416 | mean_spend=7942.881 | last_tiles=14.000 | last_armies=3.000 | pg=0.004 | vf=31.220 | ent=3.228 | kl=0.008 | clipfrac=0.089 | n=301 | bc_kl=0.272 | adv_mean=-3.856 | adv_std=4.234
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=149 | env_steps=435137 | secs=11180.300 | episodes=204 | last_spend=12879.694 | mean_spend=10294.565 | last_tiles=29.000 | last_armies=5.000 | pg=0.007 | vf=49.477 | ent=3.882 | kl=0.009 | clipfrac=0.090 | n=416 | bc_kl=0.279 | adv_mean=-3.175 | adv_std=6.439
eval_spend=7476.903 | eval_tiles=8.000 | eval_armies=2.500 | eval_s_spend=14495.434 | eval_s_tiles=25.000 | iter=150 | env_steps=445788 | secs=11430.400 | episodes=208 | last_spend=8166.710 | mean_spend=8542.039 | last_tiles=12.000 | last_armies=0.000 | pg=0.009 | vf=140.027 | ent=3.549 | kl=0.013 | clipfrac=0.156 | n=333 | bc_kl=0.311 | adv_mean=-8.259 | adv_std=8.685
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=151 | env_steps=462556 | secs=12025.400 | episodes=212 | last_spend=8711.208 | mean_spend=8711.948 | last_tiles=19.000 | last_armies=6.000 | pg=0.009 | vf=658.047 | ent=4.045 | kl=0.017 | clipfrac=0.196 | n=524 | bc_kl=0.338 | adv_mean=-17.667 | adv_std=18.786
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=152 | env_steps=473112 | secs=12273.100 | episodes=216 | last_spend=7901.705 | mean_spend=8762.751 | last_tiles=13.000 | last_armies=0.000 | pg=0.004 | vf=54.487 | ent=3.292 | kl=0.006 | clipfrac=0.084 | n=330 | bc_kl=0.268 | adv_mean=-4.651 | adv_std=5.906
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=153 | env_steps=482292 | secs=12483.400 | episodes=220 | last_spend=5700.770 | mean_spend=8113.925 | last_tiles=5.000 | last_armies=0.000 | pg=0.005 | vf=84.397 | ent=3.057 | kl=0.007 | clipfrac=0.097 | n=287 | bc_kl=0.271 | adv_mean=-2.520 | adv_std=8.979
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=154 | env_steps=491223 | secs=12692.400 | episodes=224 | last_spend=8068.170 | mean_spend=7503.506 | last_tiles=17.000 | last_armies=0.000 | pg=0.002 | vf=25.665 | ent=3.137 | kl=0.008 | clipfrac=0.074 | n=280 | bc_kl=0.259 | adv_mean=-1.573 | adv_std=4.961
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=155 | env_steps=500049 | secs=12899.200 | episodes=228 | last_spend=4652.405 | mean_spend=7565.623 | last_tiles=5.000 | last_armies=0.000 | pg=0.006 | vf=41.401 | ent=3.095 | kl=0.005 | clipfrac=0.086 | n=276 | bc_kl=0.295 | adv_mean=-1.793 | adv_std=6.306
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=156 | env_steps=511579 | secs=13170.300 | episodes=232 | last_spend=7519.846 | mean_spend=8478.071 | last_tiles=19.000 | last_armies=1.000 | pg=0.006 | vf=104.033 | ent=3.543 | kl=0.010 | clipfrac=0.096 | n=361 | bc_kl=0.227 | adv_mean=-7.808 | adv_std=6.806
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=157 | env_steps=520908 | secs=13396.200 | episodes=236 | last_spend=9185.316 | mean_spend=8653.562 | last_tiles=12.000 | last_armies=0.000 | pg=0.005 | vf=43.545 | ent=3.144 | kl=0.008 | clipfrac=0.080 | n=292 | bc_kl=0.265 | adv_mean=3.911 | adv_std=5.494
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=158 | env_steps=532057 | secs=13669.300 | episodes=240 | last_spend=8350.545 | mean_spend=9972.340 | last_tiles=21.000 | last_armies=5.000 | pg=0.005 | vf=78.471 | ent=3.528 | kl=0.011 | clipfrac=0.106 | n=349 | bc_kl=0.243 | adv_mean=-4.319 | adv_std=7.916
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=159 | env_steps=544440 | secs=13980.900 | episodes=244 | last_spend=6401.439 | mean_spend=8981.545 | last_tiles=14.000 | last_armies=5.000 | pg=0.006 | vf=117.991 | ent=3.894 | kl=0.012 | clipfrac=0.114 | n=387 | bc_kl=0.284 | adv_mean=-0.733 | adv_std=10.990
eval_spend=9453.899 | eval_tiles=8.500 | eval_armies=6.500 | eval_s_spend=11885.394 | eval_s_tiles=21.500 | iter=160 | env_steps=554597 | secs=14230.200 | episodes=248 | last_spend=7536.169 | mean_spend=9023.730 | last_tiles=14.000 | last_armies=2.000 | pg=0.009 | vf=193.033 | ent=3.261 | kl=0.013 | clipfrac=0.128 | n=318 | bc_kl=0.241 | adv_mean=0.383 | adv_std=14.022
