设备：cuda
★BC 锚开启：w=0.1  只锚 turn ≤ 70  权重来自 rl/runs/bc_ep400.pt（缺失 0 项）
（含优化器状态）
续训自 rl/runs/ppo_exec/model.pt（第 119 块）
（训练图种子接着数：0）
★地图池：802 张（难度已筛）  从第 476 张接着数
（含回报归一化状态）
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=149 | env_steps=253206 | secs=6801.100 | episodes=120 | last_spend=11159.167 | mean_spend=10004.730 | last_tiles=19.000 | last_armies=5.000 | pg=0.003 | vf=55.194 | ent=2.930 | kl=0.007 | clipfrac=0.101 | n=301 | bc_kl=0.285 | adv_mean=4.357 | adv_std=6.189
eval_spend=6228.386 | eval_tiles=6.000 | eval_armies=3.500 | eval_s_spend=13315.224 | eval_s_tiles=32.000 | iter=150 | env_steps=262740 | secs=7041.500 | episodes=124 | last_spend=8299.337 | mean_spend=9954.964 | last_tiles=16.000 | last_armies=3.000 | pg=0.004 | vf=40.245 | ent=2.926 | kl=0.007 | clipfrac=0.101 | n=298 | bc_kl=0.339 | adv_mean=2.918 | adv_std=5.776
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=151 | env_steps=275217 | secs=7544.200 | episodes=128 | last_spend=8791.621 | mean_spend=10155.659 | last_tiles=17.000 | last_armies=4.000 | pg=0.010 | vf=290.132 | ent=3.492 | kl=0.014 | clipfrac=0.156 | n=390 | bc_kl=0.286 | adv_mean=6.573 | adv_std=15.843
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=152 | env_steps=283959 | secs=7774.300 | episodes=132 | last_spend=10516.015 | mean_spend=8575.364 | last_tiles=23.000 | last_armies=7.000 | pg=0.004 | vf=34.570 | ent=2.672 | kl=0.009 | clipfrac=0.092 | n=274 | bc_kl=0.228 | adv_mean=1.557 | adv_std=5.791
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=153 | env_steps=293775 | secs=8028.800 | episodes=136 | last_spend=10568.602 | mean_spend=11811.067 | last_tiles=22.000 | last_armies=2.000 | pg=0.004 | vf=175.452 | ent=2.975 | kl=0.006 | clipfrac=0.060 | n=307 | bc_kl=0.266 | adv_mean=6.349 | adv_std=11.746
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=154 | env_steps=303626 | secs=8282.200 | episodes=140 | last_spend=10836.709 | mean_spend=11300.587 | last_tiles=24.000 | last_armies=1.000 | pg=0.004 | vf=107.877 | ent=3.110 | kl=0.006 | clipfrac=0.073 | n=308 | bc_kl=0.267 | adv_mean=5.265 | adv_std=9.095
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=155 | env_steps=312216 | secs=8490.600 | episodes=144 | last_spend=11853.083 | mean_spend=10279.712 | last_tiles=25.000 | last_armies=7.000 | pg=0.011 | vf=192.749 | ent=2.672 | kl=0.012 | clipfrac=0.152 | n=269 | bc_kl=0.258 | adv_mean=10.734 | adv_std=9.035
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=156 | env_steps=323344 | secs=8756.700 | episodes=148 | last_spend=7318.841 | mean_spend=8334.501 | last_tiles=13.000 | last_armies=5.000 | pg=0.006 | vf=162.907 | ent=3.338 | kl=0.008 | clipfrac=0.130 | n=348 | bc_kl=0.262 | adv_mean=-7.193 | adv_std=10.687
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=157 | env_steps=332027 | secs=8975.600 | episodes=152 | last_spend=15066.871 | mean_spend=9345.990 | last_tiles=33.000 | last_armies=11.000 | pg=0.007 | vf=523.517 | ent=2.871 | kl=0.008 | clipfrac=0.100 | n=272 | bc_kl=0.320 | adv_mean=10.146 | adv_std=20.655
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=158 | env_steps=339861 | secs=9160.900 | episodes=156 | last_spend=7256.036 | mean_spend=9388.966 | last_tiles=12.000 | last_armies=1.000 | pg=0.006 | vf=225.388 | ent=2.530 | kl=0.010 | clipfrac=0.096 | n=245 | bc_kl=0.333 | adv_mean=1.278 | adv_std=15.090
