eval_spend,eval_tiles,eval_armies,eval_s_spend,eval_s_tiles,iter,env_steps,secs,episodes,last_spend,mean_spend,last_tiles,last_armies,pg,vf,ent,kl,clipfrac,n,bc_kl,adv_mean,adv_std
nan,nan,nan,nan,nan,142,362348,9430.4,176,13173.434333333335,11043.159555555554,34.0,9.0,0.0044,161.3845,3.2138,0.0056,0.0644,290,0.2392,4.2264,12.1236
nan,nan,nan,nan,nan,143,370780,9642.1,180,5431.3730000000005,9382.135555555556,5.0,0.0,0.0074,153.5993,3.0418,0.008,0.0859,264,0.2647,-2.073,12.3396
nan,nan,nan,nan,nan,144,381738,9910.6,184,10778.28,10092.991555555556,22.0,1.0,0.0057,195.389,3.4206,0.0106,0.1221,343,0.2692,-4.1538,13.4829
nan,nan,nan,nan,nan,145,391012,10120.2,188,10490.055666666669,7767.5446666666685,16.0,1.0,0.011,214.8468,3.2726,0.0159,0.1682,290,0.2918,-9.9526,10.941
nan,nan,nan,nan,nan,146,401377,10369.2,192,8122.305333333331,9197.848444444442,27.0,3.0,0.0033,144.3387,3.2739,0.0078,0.0871,324,0.2439,-2.7205,11.8247
nan,nan,nan,nan,nan,147,412218,10627.5,196,8459.353666666662,10117.487444444441,20.0,2.0,0.0048,106.4751,3.4313,0.0099,0.1284,339,0.3318,-2.045,10.253
nan,nan,nan,nan,nan,148,421843,10852.9,200,6940.416000000001,7942.881111111111,14.0,3.0,0.0044,31.2202,3.2283,0.0076,0.0889,301,0.2718,-3.8563,4.234
nan,nan,nan,nan,nan,149,435137,11180.3,204,12879.693666666664,10294.564888888888,29.0,5.0,0.0073,49.4773,3.8817,0.0094,0.0897,416,0.279,-3.175,6.4387
7476.903,8.0,2.5,14495.433833333333,25.0,150,445788,11430.4,208,8166.709999999998,8542.03877777778,12.0,0.0,0.0085,140.0266,3.5486,0.0125,0.1562,333,0.3109,-8.2587,8.6849
nan,nan,nan,nan,nan,151,462556,12025.4,212,8711.207999999999,8711.948444444444,19.0,6.0,0.0086,658.0474,4.045,0.0167,0.196,524,0.3383,-17.6669,18.7858
nan,nan,nan,nan,nan,152,473112,12273.1,216,7901.705333333333,8762.750555555556,13.0,0.0,0.0043,54.4868,3.2922,0.0057,0.0844,330,0.2684,-4.651,5.906
nan,nan,nan,nan,nan,153,482292,12483.4,220,5700.769666666667,8113.925111111109,5.0,0.0,0.0048,84.3968,3.0571,0.0073,0.0967,287,0.2712,-2.5199,8.9789
nan,nan,nan,nan,nan,154,491223,12692.4,224,8068.169999999999,7503.5055555555555,17.0,0.0,0.0021,25.6653,3.1368,0.0082,0.0739,280,0.2586,-1.5733,4.9614
nan,nan,nan,nan,nan,155,500049,12899.2,228,4652.404666666667,7565.623111111112,5.0,0.0,0.0062,41.4012,3.0947,0.0047,0.0859,276,0.2955,-1.7932,6.3057
